22/3/5,0:42:58,0.02,4226979.17,7.83,623.00,0.35,2.96
22/3/5,0:43:45,0.02,4186576.48,7.91,623.00,0.35,2.96
22/3/5,0:44:33,0.02,4155891.55,256.28,300.00,0.35,0.09
22/3/5,1:8:48,0.00,4250677.79,7.50,623.00,0.34,2.96
22/3/5,1:9:24,0.00,3056295.53,7.60,623.00,0.34,2.96
22/3/5,1:10:9,0.00,3916337.15,248.35,300.00,0.34,0.09
22/3/5,1:10:53,0.00,3766631.91,7.47,623.00,0.34,2.96
22/3/5,1:11:35,0.00,3662317.33,252.76,300.00,0.35,0.09
22/3/5,1:12:17,0.00,3590709.81,7.90,623.00,0.35,2.96
22/3/5,1:12:58,0.00,3516179.54,7.74,623.00,0.35,2.96
22/3/5,1:13:38,0.00,3468965.52,254.52,300.00,0.35,0.09
22/3/5,1:14:18,0.00,3412539.18,7.80,623.00,0.35,2.96
22/3/5,1:14:57,0.01,3355000.00,7.76,623.00,0.35,2.96
22/3/5,1:15:36,0.01,3309697.60,253.05,300.00,0.35,0.09
22/3/5,1:16:15,0.01,3262565.17,7.87,623.00,0.35,2.96
22/3/5,1:16:53,0.01,3227557.41,7.72,623.00,0.35,2.96
22/3/5,1:17:31,0.01,3179457.77,251.29,300.00,0.34,0.09
22/3/5,1:18:8,0.01,3141231.73,251.29,300.00,0.34,0.09
22/3/5,1:18:45,0.01,3110971.79,7.82,623.00,0.35,2.96
22/3/5,1:19:22,0.01,3065344.47,7.84,623.00,0.35,2.96
22/3/5,1:19:58,0.01,3025756.00,253.93,300.00,0.35,0.09
22/3/5,1:20:34,0.01,2998538.62,252.76,300.00,0.35,0.09
22/3/5,1:21:10,0.01,2968893.53,252.46,300.00,0.35,0.09
22/3/5,1:21:45,0.01,2929645.09,7.67,623.00,0.34,2.96
22/3/5,1:22:20,0.01,2904697.29,4.55,623.00,0.20,2.96
22/3/5,1:22:55,0.01,2854630.59,4.89,623.00,0.22,2.96
22/3/5,1:23:30,0.01,2826326.74,167.04,300.00,0.23,0.09
22/3/5,1:24:4,0.01,2808967.67,164.10,300.00,0.23,0.09
22/3/5,1:24:38,0.01,2782217.57,172.62,300.00,0.24,0.09
22/3/5,1:25:11,0.01,2734864.30,177.31,300.00,0.24,0.09
22/3/5,1:25:44,0.01,2696354.17,5.44,623.00,0.24,2.96
22/3/5,1:26:17,0.01,2684150.16,5.55,623.00,0.25,2.96
22/3/5,1:26:50,0.01,2660104.17,5.76,623.00,0.26,2.96
22/3/5,1:27:23,0.01,2632395.83,5.81,623.00,0.26,2.96
22/3/5,1:27:55,0.01,2604890.74,5.87,623.00,0.26,2.96
22/3/5,1:28:27,0.01,2522833.84,6.02,623.00,0.27,2.96
22/3/5,1:28:59,0.01,2549530.76,196.98,300.00,0.27,0.09
22/3/5,1:29:30,0.02,2514285.71,200.50,300.00,0.28,0.09
22/3/5,1:30:1,0.02,2499478.08,200.80,300.00,0.28,0.09
22/3/5,1:30:32,0.02,2472054.22,209.02,300.00,0.29,0.09
22/3/5,1:31:3,0.02,2441188.74,214.01,300.00,0.29,0.09
22/3/5,1:31:33,0.02,2419603.75,209.31,300.00,0.29,0.09
22/3/5,1:32:4,0.02,2396141.81,213.42,300.00,0.29,0.09
22/3/5,1:32:34,0.02,2370802.92,213.42,300.00,0.29,0.09
22/3/5,1:33:3,0.02,2348279.46,222.52,300.00,0.31,0.09
22/3/5,1:33:33,0.02,2313972.89,199.92,300.00,0.27,0.09
22/3/5,1:34:2,0.02,2309916.49,225.46,300.00,0.31,0.09
22/3/5,1:34:32,0.02,2285833.33,227.22,300.00,0.31,0.09
22/3/5,1:35:1,0.02,2268717.41,229.27,300.00,0.31,0.09
22/3/5,1:35:29,0.02,2253131.52,233.09,300.00,0.32,0.09
22/3/5,1:35:58,0.02,2236221.29,234.85,300.00,0.32,0.09
22/3/5,1:36:27,0.02,2211458.33,7.13,623.00,0.32,2.96
22/3/5,1:36:55,0.02,2193020.83,7.37,623.00,0.33,2.96
22/3/5,1:37:23,0.02,2176378.77,7.28,623.00,0.33,2.96
